Date,Close,Date,Close,Date,Close
12/15/2016 16:00,815.65,12/15/2016 16:00,39.52,12/15/2016 16:00,38.04
12/16/2016 16:00,809.84,12/16/2016 16:00,40.5,12/16/2016 16:00,37.63
12/19/2016 16:00,812.5,12/19/2016 16:00,40.55,12/19/2016 16:00,38.13
12/20/2016 16:00,815.2,12/20/2016 16:00,41.76,12/20/2016 16:00,38.81
12/21/2016 16:00,812.2,12/21/2016 16:00,41.54,12/21/2016 16:00,38.34
12/22/2016 16:00,809.68,12/22/2016 16:00,41.69,12/22/2016 16:00,36.6
12/23/2016 16:00,807.8,12/23/2016 16:00,42.67,12/23/2016 16:00,37.23
12/27/2016 16:00,809.93,12/27/2016 16:00,43.91,12/27/2016 16:00,37.66
12/28/2016 16:00,804.57,12/28/2016 16:00,43.95,12/28/2016 16:00,37.18
12/29/2016 16:00,802.88,12/29/2016 16:00,42.94,12/29/2016 16:00,36.98
12/30/2016 16:00,792.45,12/30/2016 16:00,42.74,12/30/2016 16:00,36.47
1/3/2017 16:00,808.01,1/3/2017 16:00,43.4,1/3/2017 16:00,37.22
1/4/2017 16:00,807.77,1/4/2017 16:00,45.4,1/4/2017 16:00,37.09
1/5/2017 16:00,813.02,1/5/2017 16:00,45.35,1/5/2017 16:00,36.42
1/6/2017 16:00,825.21,1/6/2017 16:00,45.8,1/6/2017 16:00,36.7
1/9/2017 16:00,827.18,1/9/2017 16:00,46.26,1/9/2017 16:00,36.95
1/10/2017 16:00,826.01,1/10/2017 16:00,45.97,1/10/2017 16:00,36.65
1/11/2017 16:00,829.86,1/11/2017 16:00,45.95,1/11/2017 16:00,36.08
1/12/2017 16:00,829.53,1/12/2017 16:00,45.92,1/12/2017 16:00,36.93
1/13/2017 16:00,830.94,1/13/2017 16:00,47.55,1/13/2017 16:00,37.57
1/17/2017 16:00,827.46,1/17/2017 16:00,47.12,1/17/2017 16:00,36.51
1/18/2017 16:00,829.02,1/18/2017 16:00,47.67,1/18/2017 16:00,36.55
1/19/2017 16:00,824.37,1/19/2017 16:00,48.75,1/19/2017 16:00,36.6
1/20/2017 16:00,828.17,1/20/2017 16:00,48.95,1/20/2017 16:00,36.77
1/23/2017 16:00,844.43,1/23/2017 16:00,49.78,1/23/2017 16:00,37.05
1/24/2017 16:00,849.53,1/24/2017 16:00,50.92,1/24/2017 16:00,37.05
1/25/2017 16:00,858.45,1/25/2017 16:00,50.89,1/25/2017 16:00,36.63
1/26/2017 16:00,856.98,1/26/2017 16:00,50.5,1/26/2017 16:00,36.66
1/27/2017 16:00,845.03,1/27/2017 16:00,50.59,1/27/2017 16:00,36.36
1/30/2017 16:00,823.83,1/30/2017 16:00,50.13,1/30/2017 16:00,35.87
1/31/2017 16:00,820.19,1/31/2017 16:00,50.39,1/31/2017 16:00,35.38
2/1/2017 16:00,815.24,2/1/2017 16:00,49.85,2/1/2017 16:00,35.2
2/2/2017 16:00,818.26,2/2/2017 16:00,50.31,2/2/2017 16:00,35.35
2/3/2017 16:00,820.13,2/3/2017 16:00,50.27,2/3/2017 16:00,35.93
2/6/2017 16:00,821.62,2/6/2017 16:00,51.55,2/6/2017 16:00,36.62
2/7/2017 16:00,829.23,2/7/2017 16:00,51.5,2/7/2017 16:00,36.87
2/8/2017 16:00,829.88,2/8/2017 16:00,52.42,2/8/2017 16:00,34.52
2/9/2017 16:00,830.06,2/9/2017 16:00,53.84,2/9/2017 16:00,34.01
2/10/2017 16:00,834.85,2/10/2017 16:00,53.85,2/10/2017 16:00,34.42
2/13/2017 16:00,838.96,2/13/2017 16:00,56.12,2/13/2017 16:00,35.19
2/14/2017 16:00,840.03,2/14/2017 16:00,56.2,2/14/2017 16:00,36.3
2/15/2017 16:00,837.32,2/15/2017 16:00,55.95,2/15/2017 16:00,36.01
2/16/2017 16:00,842.17,2/16/2017 16:00,53.79,2/16/2017 16:00,35.19
2/17/2017 16:00,846.55,2/17/2017 16:00,54.45,2/17/2017 16:00,35.39
2/21/2017 16:00,849.27,2/21/2017 16:00,55.48,2/21/2017 16:00,35.31
2/22/2017 16:00,851.36,2/22/2017 16:00,54.7,2/22/2017 16:00,35.97
2/23/2017 16:00,851,2/23/2017 16:00,51.2,2/23/2017 16:00,35.34
2/24/2017 16:00,847.81,2/24/2017 16:00,51.4,2/24/2017 16:00,35.17
2/27/2017 16:00,849.67,2/27/2017 16:00,49.25,2/27/2017 16:00,34.95
